student_id,age,gender,major,GPA,course_load,avg_course_grade,attendance_rate,enrollment_status,lms_logins_past_month,avg_session_duration_minutes,assignment_submission_rate,forum_participation_count,video_completion_rate,risk_level,ID,Name,Department,Year
S225,19.0,Other,Business,2.81,5.0,64.0,0.73,Leave,9.0,23.0,0.94,15.0,0.92,High,,,,
S226,19.0,Female,Computer Science,3.91,6.0,90.7,0.67,Graduated,30.0,33.0,0.52,19.0,0.67,High,,,,
S227,22.0,Other,Business,3.05,6.0,98.7,0.7,Active,14.0,68.0,0.58,14.0,0.7,High,,,,
S228,23.0,Male,Computer Science,2.44,5.0,98.8,0.77,Active,6.0,48.0,0.56,1.0,0.95,High,,,,
S229,18.0,Female,Computer Science,2.92,6.0,94.6,0.7,Graduated,35.0,35.0,0.59,16.0,0.75,High,,,,
S230,22.0,Other,Arts,3.84,4.0,84.0,0.73,Graduated,13.0,52.0,0.99,2.0,0.77,High,,,,
S231,23.0,Male,Engineering,2.35,5.0,88.0,0.65,Active,13.0,45.0,0.78,2.0,0.98,High,,,,
S232,21.0,Female,Arts,2.43,6.0,71.4,0.72,Active,2.0,48.0,0.73,4.0,0.94,High,,,,
S233,21.0,Male,Engineering,2.03,5.0,85.2,0.83,Graduated,2.0,70.0,0.99,16.0,0.58,High,,,,
S234,21.0,Female,Engineering,2.03,5.0,78.2,0.78,Leave,21.0,25.0,0.78,16.0,0.74,High,,,,
S235,21.0,Male,Engineering,3.66,5.0,79.3,0.74,Active,18.0,68.0,0.83,19.0,0.99,High,,,,
S236,21.0,Male,Business,3.46,3.0,90.3,0.9,Graduated,34.0,15.0,0.67,5.0,0.69,Low,,,,
S237,23.0,Other,Arts,2.71,6.0,71.3,0.96,Leave,11.0,65.0,0.69,0.0,0.69,Medium,,,,
S238,23.0,Male,Engineering,3.4,3.0,72.7,0.9,Active,4.0,17.0,0.8,6.0,0.6,Low,,,,
S239,20.0,Female,Computer Science,2.79,6.0,97.0,0.73,Active,9.0,36.0,0.53,14.0,0.56,High,,,,
S240,25.0,Female,Business,3.91,4.0,62.2,0.9,Graduated,32.0,80.0,0.63,6.0,0.87,Low,,,,
S241,19.0,Other,Arts,3.93,4.0,79.4,0.66,Leave,12.0,36.0,0.6,18.0,0.89,High,,,,
S242,24.0,Female,Engineering,2.79,4.0,96.5,0.65,Active,34.0,55.0,0.51,19.0,0.98,High,,,,
S243,21.0,Female,Computer Science,3.71,6.0,84.4,0.74,Leave,31.0,50.0,0.77,10.0,0.89,High,,,,
S244,18.0,Female,Arts,3.55,5.0,81.9,0.92,Leave,10.0,88.0,0.78,13.0,0.62,Low,,,,
S245,24.0,Male,Arts,2.62,5.0,70.0,0.7,Active,37.0,34.0,0.69,12.0,0.52,High,,,,
S246,23.0,Male,Business,2.46,3.0,73.7,0.63,Leave,23.0,27.0,0.63,19.0,0.99,High,,,,
S247,18.0,Female,Arts,2.92,3.0,94.1,0.65,Active,34.0,21.0,0.83,8.0,0.67,High,,,,
S248,18.0,Other,Business,3.56,4.0,82.4,0.94,Leave,18.0,60.0,0.57,8.0,0.66,Low,,,,
S249,18.0,Male,Engineering,3.92,3.0,80.6,0.85,Active,5.0,48.0,0.76,15.0,0.95,Low,,,,
S250,20.0,Other,Business,3.53,6.0,64.0,0.7,Graduated,39.0,19.0,0.88,11.0,0.79,High,,,,
S251,23.0,Female,Computer Science,3.71,6.0,60.6,0.82,Active,34.0,83.0,0.58,9.0,0.61,Medium,,,,
S252,18.0,Female,Business,3.21,3.0,98.5,0.81,Active,3.0,86.0,0.88,5.0,0.94,Medium,,,,
S253,21.0,Male,Computer Science,3.67,3.0,75.1,0.86,Active,32.0,63.0,0.88,17.0,1.0,Low,,,,
S254,22.0,Female,Business,3.57,3.0,84.1,0.69,Leave,12.0,38.0,0.53,1.0,0.54,High,,,,
S255,18.0,Male,Arts,2.75,3.0,63.2,0.95,Graduated,35.0,50.0,0.51,19.0,0.93,Medium,,,,
S256,20.0,Female,Engineering,3.1,4.0,87.3,0.72,Leave,18.0,18.0,0.99,8.0,0.7,High,,,,
S257,24.0,Female,Computer Science,3.61,4.0,97.3,0.88,Leave,11.0,72.0,0.6,18.0,0.76,Low,,,,
S258,23.0,Male,Business,2.09,3.0,83.0,0.61,Active,10.0,86.0,0.91,5.0,0.96,High,,,,
S259,25.0,Male,Business,3.62,6.0,65.0,0.75,Leave,5.0,46.0,0.78,1.0,0.99,Medium,,,,
S260,20.0,Male,Business,2.36,4.0,83.3,0.74,Active,11.0,23.0,0.63,14.0,0.63,High,,,,
S261,18.0,Female,Arts,3.03,6.0,90.7,0.82,Graduated,26.0,82.0,0.56,16.0,0.61,Medium,,,,
S262,23.0,Female,Arts,3.62,5.0,76.3,0.63,Leave,24.0,81.0,0.75,15.0,0.54,High,,,,
S263,22.0,Other,Computer Science,2.51,6.0,95.2,0.92,Leave,2.0,48.0,0.7,7.0,0.78,Medium,,,,
S264,18.0,Male,Computer Science,2.49,3.0,85.9,0.69,Leave,2.0,49.0,0.85,9.0,0.51,High,,,,
S265,20.0,Female,Arts,2.81,5.0,96.0,0.87,Active,19.0,63.0,0.95,9.0,0.71,Medium,,,,
S266,19.0,Female,Computer Science,3.79,4.0,84.9,0.92,Active,27.0,12.0,0.9,17.0,0.54,Low,,,,
S267,21.0,Male,Engineering,2.0,4.0,65.3,0.82,Leave,22.0,64.0,0.64,9.0,0.7,High,,,,
S268,25.0,Other,Engineering,3.8,5.0,72.4,0.9,Leave,2.0,42.0,0.94,8.0,0.52,Low,,,,
S269,24.0,Male,Arts,2.31,6.0,68.1,0.86,Graduated,23.0,80.0,0.92,18.0,0.92,High,,,,
S270,20.0,Other,Computer Science,3.98,4.0,96.4,0.74,Graduated,39.0,28.0,0.96,0.0,0.6,High,,,,
S271,23.0,Female,Business,3.91,3.0,90.4,0.92,Graduated,5.0,43.0,0.73,3.0,0.66,Low,,,,
S272,25.0,Other,Engineering,2.99,5.0,87.1,0.72,Graduated,19.0,87.0,0.88,2.0,0.94,High,,,,
S273,25.0,Female,Arts,3.03,3.0,72.0,0.83,Graduated,10.0,59.0,0.8,9.0,0.87,Medium,,,,
S274,25.0,Male,Computer Science,2.96,5.0,67.4,0.9,Active,31.0,56.0,0.66,11.0,0.61,Medium,,,,
S275,18.0,Male,Arts,3.27,4.0,90.3,0.75,Graduated,26.0,55.0,1.0,17.0,0.54,Medium,,,,
S276,21.0,Male,Business,2.18,6.0,79.0,0.72,Graduated,20.0,65.0,0.52,19.0,0.86,High,,,,
S277,18.0,Other,Engineering,2.07,5.0,69.0,0.78,Leave,12.0,66.0,0.58,5.0,0.7,High,,,,
S278,23.0,Female,Arts,2.12,5.0,84.7,0.93,Active,21.0,60.0,0.95,1.0,0.88,High,,,,
S279,18.0,Male,Arts,2.89,3.0,61.6,0.97,Graduated,34.0,63.0,0.53,9.0,0.72,Medium,,,,
S280,19.0,Male,Arts,2.55,4.0,73.0,0.82,Graduated,21.0,37.0,0.94,1.0,0.67,Medium,,,,
S281,21.0,Female,Business,3.24,3.0,78.7,0.86,Graduated,27.0,28.0,0.86,8.0,0.73,Low,,,,
S282,21.0,Male,Arts,3.98,4.0,65.9,0.96,Leave,20.0,36.0,0.52,9.0,0.87,Low,,,,
S283,23.0,Female,Business,2.77,3.0,99.4,0.64,Leave,17.0,57.0,0.71,1.0,0.95,High,,,,
S284,24.0,Female,Business,3.15,5.0,68.4,0.69,Leave,30.0,28.0,0.88,7.0,0.52,High,,,,
S285,19.0,Female,Business,2.83,3.0,65.2,0.88,Graduated,36.0,60.0,0.79,16.0,0.76,Medium,,,,
S286,20.0,Female,Engineering,3.69,6.0,68.1,0.93,Leave,20.0,16.0,0.97,16.0,0.52,Low,,,,
S287,18.0,Female,Engineering,3.8,4.0,90.8,0.94,Graduated,13.0,38.0,0.93,3.0,0.73,Low,,,,
S288,22.0,Other,Arts,3.75,4.0,77.0,0.77,Active,24.0,52.0,0.67,17.0,0.94,Medium,,,,
S289,18.0,Male,Arts,3.95,5.0,82.6,0.64,Graduated,26.0,78.0,0.54,11.0,0.68,High,,,,
S290,25.0,Other,Engineering,2.06,4.0,60.8,0.78,Leave,39.0,67.0,0.97,16.0,0.97,High,,,,
S291,18.0,Male,Computer Science,3.68,6.0,61.4,0.69,Active,22.0,17.0,0.76,8.0,0.82,High,,,,
S292,20.0,Other,Engineering,3.5,3.0,77.8,0.72,Graduated,30.0,51.0,0.54,18.0,0.97,High,,,,
S293,18.0,Female,Business,2.46,5.0,92.7,0.91,Active,28.0,85.0,0.91,13.0,0.88,High,,,,
S294,19.0,Male,Engineering,3.91,6.0,95.4,0.63,Active,29.0,51.0,0.93,13.0,0.55,High,,,,
S295,19.0,Male,Business,2.3,4.0,63.5,0.93,Active,25.0,22.0,0.82,16.0,0.62,High,,,,
S296,21.0,Other,Arts,3.36,4.0,81.5,0.77,Graduated,19.0,35.0,0.72,1.0,0.7,Medium,,,,
S297,23.0,Other,Computer Science,2.45,6.0,96.5,0.84,Leave,37.0,27.0,0.83,7.0,0.59,High,,,,
S298,24.0,Male,Arts,2.86,3.0,75.5,0.64,Graduated,18.0,51.0,0.85,4.0,0.75,High,,,,
S299,22.0,Other,Business,3.44,3.0,93.2,0.73,Leave,26.0,60.0,0.95,6.0,0.74,High,,,,
S300,25.0,Other,Business,3.13,5.0,65.3,0.64,Graduated,24.0,25.0,0.98,15.0,0.98,High,,,,
S301,18.0,Other,Business,2.86,4.0,97.4,0.98,Graduated,39.0,12.0,0.76,15.0,0.72,Medium,,,,
S302,18.0,Female,Computer Science,2.65,6.0,90.1,0.92,Graduated,37.0,88.0,0.9,16.0,0.89,Medium,,,,
S303,20.0,Female,Engineering,3.68,3.0,97.7,0.78,Leave,22.0,54.0,0.98,6.0,0.97,Medium,,,,
S304,23.0,Other,Arts,2.29,5.0,87.1,0.69,Graduated,28.0,31.0,0.58,19.0,0.94,High,,,,
S305,19.0,Other,Arts,2.86,4.0,74.5,0.97,Active,14.0,32.0,0.51,7.0,0.6,Medium,,,,
S306,22.0,Female,Engineering,3.81,4.0,97.5,0.74,Graduated,2.0,68.0,0.93,7.0,0.75,High,,,,
S307,21.0,Female,Arts,3.69,5.0,71.0,0.66,Active,9.0,71.0,0.6,10.0,0.67,High,,,,
S308,19.0,Male,Computer Science,2.8,5.0,73.3,0.83,Leave,14.0,77.0,0.52,14.0,0.7,Medium,,,,
S309,25.0,Male,Arts,3.53,3.0,88.0,0.98,Leave,15.0,63.0,0.58,17.0,0.68,Low,,,,
S310,23.0,Female,Business,3.65,6.0,90.6,0.6,Graduated,16.0,66.0,0.69,5.0,0.91,High,,,,
S311,25.0,Other,Engineering,3.78,4.0,97.2,0.7,Graduated,18.0,32.0,0.61,11.0,0.73,High,,,,
S312,24.0,Other,Computer Science,3.09,6.0,68.2,0.98,Graduated,10.0,69.0,0.65,14.0,0.76,Low,,,,
S313,21.0,Other,Engineering,2.41,4.0,91.9,0.67,Active,4.0,82.0,0.99,5.0,0.99,High,,,,
S314,24.0,Other,Computer Science,2.51,4.0,89.5,0.65,Leave,4.0,64.0,0.85,17.0,0.53,High,,,,
S315,20.0,Male,Business,2.59,6.0,62.6,0.83,Active,13.0,89.0,0.86,19.0,0.74,Medium,,,,
S316,25.0,Female,Engineering,3.19,5.0,75.5,0.94,Active,25.0,72.0,0.55,8.0,0.89,Low,,,,
S317,20.0,Other,Arts,2.07,3.0,71.3,0.79,Graduated,7.0,65.0,0.87,7.0,0.58,High,,,,
S318,18.0,Male,Computer Science,3.27,4.0,72.2,1.0,Graduated,4.0,64.0,0.87,13.0,0.81,Low,,,,
S319,24.0,Other,Engineering,2.73,5.0,99.3,0.87,Active,6.0,34.0,0.83,18.0,0.62,Medium,,,,
S320,23.0,Female,Arts,2.59,4.0,85.7,0.63,Active,15.0,35.0,0.61,18.0,0.93,High,,,,
S321,25.0,Male,Engineering,3.76,3.0,88.7,1.0,Graduated,13.0,58.0,0.71,7.0,0.66,Low,,,,
S322,22.0,Female,Engineering,2.92,4.0,99.1,0.76,Graduated,36.0,72.0,0.92,1.0,0.66,Medium,,,,
S323,21.0,Female,Engineering,2.19,3.0,75.1,0.71,Active,3.0,54.0,0.84,3.0,0.8,High,,,,
S324,19.0,Male,Computer Science,3.65,3.0,92.1,0.82,Graduated,35.0,82.0,0.87,5.0,0.59,Medium,,,,
S325,23.0,Male,Arts,2.1,4.0,77.4,0.72,Graduated,16.0,88.0,0.79,2.0,0.64,High,,,,
S326,23.0,Male,Business,3.45,4.0,94.8,0.63,Active,35.0,48.0,0.72,2.0,0.71,High,,,,
S327,20.0,Male,Computer Science,3.55,3.0,67.2,0.6,Active,5.0,74.0,0.88,18.0,0.68,High,,,,
S328,24.0,Male,Computer Science,2.71,5.0,97.9,0.78,Leave,15.0,78.0,0.53,10.0,0.76,Medium,,,,
S329,25.0,Male,Computer Science,3.65,6.0,68.8,0.93,Active,28.0,65.0,0.84,9.0,0.8,Low,,,,
S330,25.0,Male,Business,3.03,3.0,73.0,0.83,Graduated,35.0,18.0,1.0,11.0,0.78,Medium,,,,
S331,18.0,Other,Arts,2.93,4.0,90.2,1.0,Active,37.0,79.0,0.89,13.0,0.83,Medium,,,,
S332,18.0,Female,Arts,2.09,4.0,75.8,0.71,Active,36.0,37.0,0.65,17.0,0.65,High,,,,
S333,21.0,Male,Arts,2.58,5.0,84.3,0.71,Active,9.0,54.0,0.64,8.0,0.56,High,,,,
S334,20.0,Other,Engineering,3.86,6.0,77.8,0.66,Leave,35.0,35.0,0.83,14.0,0.88,High,,,,
S335,23.0,Other,Engineering,2.78,3.0,89.7,0.67,Leave,28.0,37.0,0.95,2.0,0.93,High,,,,
S336,25.0,Other,Engineering,3.09,3.0,69.1,0.71,Graduated,13.0,49.0,0.79,10.0,0.63,High,,,,
S337,22.0,Female,Business,3.06,6.0,62.3,0.92,Leave,3.0,24.0,0.76,9.0,0.7,Low,,,,
S338,20.0,Male,Engineering,3.18,3.0,72.0,0.96,Active,35.0,15.0,0.58,17.0,0.75,Low,,,,
S339,21.0,Other,Business,2.12,6.0,79.0,0.99,Leave,12.0,36.0,0.86,3.0,0.77,High,,,,
S340,21.0,Female,Arts,2.72,4.0,66.7,0.69,Active,17.0,47.0,0.85,12.0,0.83,High,,,,
S341,20.0,Female,Engineering,3.45,6.0,74.2,0.95,Leave,32.0,77.0,0.98,5.0,0.52,Low,,,,
S342,21.0,Female,Engineering,2.4,3.0,76.0,0.73,Leave,20.0,84.0,0.65,12.0,0.86,High,,,,
S343,20.0,Other,Computer Science,2.41,6.0,62.3,0.65,Leave,15.0,73.0,0.88,19.0,0.53,High,,,,
S344,19.0,Male,Business,2.02,5.0,83.3,0.95,Active,14.0,39.0,0.72,4.0,0.73,High,,,,
S345,20.0,Other,Arts,2.87,4.0,95.4,0.85,Leave,4.0,12.0,0.78,19.0,0.91,Medium,,,,
S346,24.0,Other,Computer Science,3.77,4.0,66.1,0.67,Active,5.0,71.0,0.91,13.0,0.73,High,,,,
S347,20.0,Male,Computer Science,2.1,6.0,83.9,0.77,Active,37.0,21.0,0.61,12.0,0.57,High,,,,
S348,21.0,Male,Arts,2.38,3.0,86.6,0.71,Graduated,2.0,39.0,0.67,13.0,0.99,High,,,,
S349,25.0,Male,Computer Science,2.62,5.0,76.8,0.89,Leave,11.0,47.0,0.89,7.0,0.94,Medium,,,,
S350,24.0,Female,Business,3.46,4.0,88.0,0.78,Graduated,35.0,69.0,0.79,15.0,0.89,Medium,,,,
S351,21.0,Male,Business,3.28,4.0,76.4,1.0,Graduated,32.0,47.0,0.55,12.0,0.71,Low,,,,
S352,18.0,Other,Engineering,2.83,3.0,80.2,0.62,Active,35.0,24.0,0.72,14.0,0.59,High,,,,
S353,18.0,Male,Computer Science,3.52,3.0,60.3,0.74,Leave,32.0,27.0,0.79,18.0,0.97,High,,,,
S354,25.0,Other,Engineering,3.22,5.0,87.7,0.79,Active,30.0,61.0,0.95,0.0,0.77,Medium,,,,
S355,25.0,Female,Computer Science,3.79,6.0,86.5,0.8,Active,20.0,38.0,0.59,1.0,0.93,Medium,,,,
S356,24.0,Other,Business,3.64,3.0,61.5,0.73,Leave,26.0,69.0,0.9,17.0,0.67,High,,,,
S357,19.0,Other,Business,2.51,6.0,74.7,0.89,Active,26.0,30.0,0.57,18.0,0.67,Medium,,,,
S358,25.0,Male,Business,2.54,5.0,99.2,0.95,Leave,7.0,26.0,0.62,7.0,0.99,Medium,,,,
S359,18.0,Male,Computer Science,2.25,6.0,76.8,0.98,Leave,36.0,27.0,0.62,2.0,0.76,High,,,,
S360,20.0,Other,Business,2.67,4.0,80.1,0.92,Active,31.0,66.0,0.94,13.0,0.57,Medium,,,,
S361,21.0,Male,Computer Science,4.0,6.0,96.4,0.94,Active,25.0,46.0,0.6,8.0,0.61,Low,,,,
S362,18.0,Female,Engineering,2.81,5.0,88.7,0.82,Graduated,1.0,69.0,0.89,7.0,0.74,Medium,,,,
S363,18.0,Female,Computer Science,2.44,5.0,83.3,0.93,Active,11.0,47.0,0.73,16.0,0.52,High,,,,
S364,19.0,Male,Engineering,3.52,5.0,91.9,0.72,Leave,21.0,21.0,1.0,15.0,0.73,High,,,,
S365,24.0,Female,Computer Science,3.08,6.0,94.6,0.76,Graduated,16.0,84.0,0.92,9.0,0.71,Medium,,,,
S366,24.0,Male,Engineering,2.3,4.0,78.3,0.73,Leave,6.0,82.0,0.87,9.0,0.89,High,,,,
S367,23.0,Other,Business,2.76,3.0,79.0,0.79,Graduated,3.0,10.0,0.94,5.0,0.68,Medium,,,,
S368,19.0,Other,Engineering,2.83,4.0,75.4,0.71,Active,36.0,67.0,0.82,16.0,0.99,High,,,,
S369,20.0,Female,Business,3.51,6.0,98.7,0.98,Active,37.0,12.0,0.92,15.0,0.59,Low,,,,
S370,24.0,Male,Business,2.04,6.0,87.9,0.73,Active,31.0,72.0,0.63,14.0,0.8,High,,,,
S371,21.0,Male,Engineering,2.54,3.0,63.3,0.64,Leave,10.0,30.0,0.55,13.0,0.54,High,,,,
S372,25.0,Female,Computer Science,3.04,6.0,94.5,0.81,Graduated,0.0,32.0,0.81,3.0,0.87,Medium,,,,
S373,19.0,Other,Computer Science,2.54,5.0,79.2,0.62,Leave,24.0,18.0,0.72,3.0,1.0,High,,,,
S374,25.0,Female,Arts,3.26,5.0,62.8,0.64,Graduated,23.0,64.0,0.71,1.0,0.91,High,,,,
S375,18.0,Other,Computer Science,2.96,5.0,82.0,0.69,Active,16.0,28.0,0.76,10.0,0.78,High,,,,
S376,21.0,Male,Arts,2.72,5.0,76.7,0.79,Leave,7.0,71.0,0.68,3.0,0.74,Medium,,,,
S377,21.0,Other,Computer Science,3.9,5.0,95.1,0.77,Active,26.0,48.0,0.81,15.0,0.92,Medium,,,,
S378,18.0,Female,Computer Science,3.26,6.0,68.2,0.92,Leave,17.0,85.0,0.52,3.0,0.97,Low,,,,
S379,19.0,Male,Business,2.26,3.0,93.1,0.9,Active,26.0,36.0,0.98,0.0,0.99,High,,,,
S380,18.0,Female,Arts,3.12,3.0,82.3,0.77,Leave,21.0,55.0,0.96,18.0,0.7,Medium,,,,
S381,25.0,Female,Computer Science,3.56,5.0,62.2,0.73,Leave,15.0,43.0,0.97,1.0,1.0,High,,,,
S382,23.0,Other,Arts,3.42,6.0,98.9,0.73,Graduated,1.0,42.0,0.68,8.0,0.58,High,,,,
S383,21.0,Female,Business,2.34,4.0,80.5,0.91,Active,4.0,59.0,0.77,12.0,0.63,High,,,,
S384,22.0,Other,Business,3.94,4.0,71.6,0.62,Graduated,17.0,29.0,0.98,17.0,0.54,High,,,,
S385,22.0,Male,Arts,2.9,6.0,78.8,0.61,Graduated,2.0,49.0,0.95,15.0,0.64,High,,,,
S386,25.0,Other,Business,2.32,5.0,94.3,0.92,Active,26.0,67.0,0.9,15.0,0.88,High,,,,
S387,20.0,Male,Engineering,2.36,3.0,72.2,0.79,Leave,16.0,40.0,0.7,9.0,0.93,High,,,,
S388,24.0,Other,Engineering,2.2,6.0,67.7,0.65,Graduated,15.0,47.0,0.78,8.0,0.89,High,,,,
S389,18.0,Female,Business,3.61,4.0,65.2,0.69,Active,5.0,54.0,0.9,10.0,0.82,High,,,,
S390,18.0,Other,Engineering,2.24,4.0,71.9,0.97,Leave,6.0,50.0,0.64,3.0,0.76,High,,,,
S391,20.0,Other,Computer Science,2.25,4.0,91.2,0.94,Graduated,13.0,18.0,0.81,9.0,0.85,High,,,,
S392,20.0,Male,Arts,3.7,5.0,78.9,0.88,Graduated,37.0,18.0,0.91,2.0,0.7,Low,,,,
S393,25.0,Female,Computer Science,2.69,4.0,69.1,0.79,Graduated,39.0,72.0,0.85,5.0,0.92,Medium,,,,
S394,25.0,Other,Arts,2.06,6.0,66.6,0.81,Leave,14.0,88.0,0.74,2.0,0.84,High,,,,
S395,20.0,Female,Business,2.1,6.0,73.3,0.99,Graduated,32.0,86.0,0.79,8.0,0.85,High,,,,
S396,21.0,Other,Computer Science,2.28,4.0,97.6,0.99,Leave,26.0,31.0,0.99,2.0,0.77,High,,,,
S397,25.0,Other,Business,2.43,6.0,73.7,0.69,Graduated,28.0,25.0,0.8,17.0,0.94,High,,,,
S398,23.0,Female,Business,3.33,4.0,99.5,0.92,Active,36.0,41.0,0.89,7.0,0.63,Low,,,,
S399,25.0,Other,Arts,2.31,4.0,79.4,0.68,Graduated,4.0,75.0,0.86,7.0,0.69,High,,,,
S400,18.0,Female,Arts,2.24,3.0,67.2,0.69,Active,28.0,23.0,0.85,14.0,0.89,High,,,,
S401,25.0,Other,Arts,3.53,5.0,95.6,0.87,Active,31.0,47.0,0.86,12.0,0.75,Low,,,,
S402,21.0,Male,Computer Science,3.34,5.0,78.4,0.76,Active,5.0,17.0,0.73,6.0,0.94,Medium,,,,
S403,20.0,Female,Engineering,2.87,3.0,88.4,0.97,Leave,1.0,30.0,0.74,18.0,0.67,Medium,,,,
S404,18.0,Other,Arts,3.1,3.0,99.3,0.64,Active,5.0,65.0,0.73,7.0,0.68,High,,,,
S405,25.0,Other,Arts,2.62,5.0,62.0,0.8,Graduated,3.0,55.0,0.52,9.0,0.94,Medium,,,,
S406,21.0,Male,Computer Science,2.97,4.0,63.9,0.97,Leave,28.0,52.0,0.62,16.0,0.73,Medium,,,,
S407,23.0,Female,Arts,3.01,4.0,88.8,0.96,Active,24.0,55.0,0.58,0.0,0.76,Low,,,,
S408,25.0,Other,Computer Science,2.77,5.0,71.3,0.66,Leave,8.0,57.0,0.94,12.0,0.67,High,,,,
S409,21.0,Male,Business,3.81,4.0,67.4,0.75,Leave,2.0,79.0,0.64,12.0,0.64,Medium,,,,
S410,23.0,Other,Arts,2.03,3.0,61.6,0.85,Leave,25.0,40.0,0.57,15.0,0.83,High,,,,
S411,20.0,Female,Arts,3.56,4.0,60.9,0.66,Graduated,26.0,42.0,0.56,8.0,0.56,High,,,,
S412,25.0,Other,Business,2.25,4.0,91.0,0.99,Active,35.0,53.0,0.85,9.0,0.94,High,,,,
S413,23.0,Other,Business,3.6,6.0,65.4,0.97,Leave,31.0,80.0,0.5,5.0,0.89,Low,,,,
S414,18.0,Other,Business,3.23,6.0,78.7,0.67,Leave,0.0,17.0,0.74,4.0,0.6,High,,,,
S415,20.0,Other,Arts,3.69,6.0,84.2,0.65,Leave,15.0,82.0,0.56,1.0,0.85,High,,,,
S416,18.0,Male,Engineering,2.2,4.0,77.1,0.63,Active,10.0,11.0,0.92,10.0,0.8,High,,,,
S417,22.0,Male,Engineering,3.12,5.0,61.1,0.96,Leave,25.0,26.0,0.98,8.0,0.59,Low,,,,
S418,19.0,Female,Engineering,3.0,3.0,91.3,0.68,Leave,39.0,61.0,0.98,5.0,0.64,High,,,,
S419,25.0,Male,Arts,3.41,4.0,60.4,0.77,Graduated,0.0,54.0,0.72,7.0,0.7,Medium,,,,
S420,23.0,Male,Business,3.07,5.0,90.5,0.78,Active,25.0,46.0,0.82,8.0,0.85,Medium,,,,
S421,19.0,Female,Arts,3.08,4.0,95.7,0.84,Graduated,27.0,51.0,0.8,8.0,0.82,Medium,,,,
S422,19.0,Male,Business,2.86,3.0,77.3,0.63,Active,8.0,53.0,0.68,7.0,0.77,High,,,,
S423,23.0,Male,Arts,2.62,4.0,81.4,0.69,Active,21.0,47.0,0.72,11.0,0.88,High,,,,
S424,20.0,Female,Arts,2.96,3.0,79.1,0.97,Active,7.0,15.0,0.53,7.0,0.88,Medium,,,,
S425,25.0,Female,Business,2.24,4.0,75.6,0.96,Graduated,26.0,77.0,0.9,2.0,0.81,High,,,,
S426,22.0,Female,Engineering,3.92,3.0,95.5,0.91,Graduated,38.0,60.0,0.62,12.0,0.89,Low,,,,
S427,18.0,Other,Business,3.43,4.0,95.8,0.61,Graduated,18.0,44.0,0.73,18.0,0.67,High,,,,
S428,21.0,Other,Computer Science,3.9,3.0,73.4,0.73,Graduated,24.0,67.0,0.74,1.0,0.94,High,,,,
S429,18.0,Female,Computer Science,2.45,6.0,84.6,0.85,Leave,37.0,66.0,0.78,16.0,0.81,High,,,,
S430,21.0,Female,Business,3.76,4.0,97.1,0.71,Leave,20.0,82.0,0.91,15.0,0.91,High,,,,
S431,18.0,Female,Arts,3.62,4.0,98.5,0.96,Leave,23.0,15.0,0.85,3.0,0.77,Low,,,,
S432,23.0,Other,Computer Science,3.35,5.0,80.4,0.85,Active,23.0,22.0,0.83,17.0,0.61,Low,,,,
S433,22.0,Other,Computer Science,3.25,5.0,78.1,0.63,Leave,18.0,68.0,0.76,13.0,0.77,High,,,,
S434,25.0,Male,Arts,2.63,3.0,71.1,0.96,Active,1.0,39.0,0.55,1.0,0.69,Medium,,,,
S435,21.0,Male,Arts,3.63,4.0,98.4,0.98,Graduated,13.0,11.0,0.7,12.0,0.85,Low,,,,
S436,25.0,Female,Engineering,3.0,3.0,65.7,0.63,Active,31.0,67.0,0.98,19.0,0.74,High,,,,
S437,25.0,Other,Arts,2.14,6.0,83.2,0.81,Active,31.0,45.0,1.0,16.0,0.92,High,,,,
S438,25.0,Other,Business,2.63,5.0,71.3,0.72,Leave,27.0,81.0,0.87,14.0,0.84,High,,,,
S439,24.0,Other,Business,3.87,3.0,71.2,0.76,Graduated,38.0,54.0,0.61,19.0,0.84,Medium,,,,
S440,20.0,Female,Engineering,3.7,3.0,76.2,0.67,Graduated,39.0,18.0,0.55,4.0,0.61,High,,,,
S441,18.0,Male,Computer Science,3.96,5.0,100.0,0.83,Leave,39.0,74.0,0.71,6.0,0.99,Medium,,,,
S442,25.0,Female,Computer Science,3.26,4.0,62.2,0.98,Graduated,12.0,86.0,0.93,17.0,0.92,Low,,,,
S443,18.0,Male,Arts,2.5,3.0,83.1,0.8,Graduated,11.0,59.0,0.86,10.0,0.89,Medium,,,,
S444,25.0,Male,Business,2.33,5.0,63.3,0.63,Graduated,7.0,88.0,0.94,17.0,0.67,High,,,,
S445,21.0,Female,Computer Science,2.37,4.0,66.2,0.85,Leave,14.0,41.0,0.81,4.0,0.77,High,,,,
S446,20.0,Male,Engineering,2.04,6.0,77.6,0.74,Graduated,25.0,52.0,0.57,12.0,0.57,High,,,,
S447,20.0,Male,Engineering,2.78,5.0,80.4,0.94,Active,11.0,87.0,0.56,17.0,0.77,Medium,,,,
S448,23.0,Other,Business,2.38,3.0,70.4,0.77,Active,26.0,63.0,0.52,1.0,0.57,High,,,,
S449,24.0,Male,Engineering,2.82,6.0,72.7,0.68,Graduated,17.0,56.0,0.78,19.0,0.78,High,,,,
S450,23.0,Female,Engineering,3.87,4.0,63.5,0.68,Leave,35.0,23.0,0.62,3.0,0.82,High,,,,
S451,23.0,Female,Business,2.86,4.0,72.1,0.91,Leave,26.0,57.0,0.87,12.0,0.7,Medium,,,,
